TAB;BETRETEN;VERLASSEN;DAUER_SEKUNDEN
tab1;19:04:19;19:05:25;66,53
tab2;19:05:25;19:05:34;8,97
tab1;19:05:34;19:06:21;47,35
tab3;19:06:21;19:06:40;18,16


FELD;EINGABE;POSITION;ZEIT;TAB_BETRETEN
Farbe 1;blau;1;19:04:22;19:04:19
Farbe 2;grau;2;19:04:23;19:04:19
Farbe 3;schwarz;3;19:04:26;19:04:19
Farbe 4;lila;4;19:04:28;19:04:19
Farbe 5;rosa;5;19:04:30;19:04:19
Farbe 1;blaugrün;6;19:04:34;19:04:19
Farbe 2;gelb;6;19:04:39;19:04:19
Farbe 1;blau;6;19:04:42;19:04:19
Farbe 6;grün;6;19:04:48;19:04:19
Farbe 7;rot;7;19:04:57;19:04:19
Farbe 8;orange;8;19:05:03;19:04:19
Farbe 9;türkis;9;19:05:14;19:04:19
Farbe 10;weiss;10;19:05:18;19:04:19
Lebensmittel 1;ananas;11;19:05:21;19:04:19
Lebensmittel 2;sushi;12;19:05:38;19:05:34
Lebensmittel 3;gurke;13;19:05:40;19:05:34
Lebensmittel 4;fisch;14;19:05:43;19:05:34
Lebensmittel 5;tomate;15;19:05:50;19:05:34
Lebensmittel 6;fleisch;16;19:05:57;19:05:34
Lebensmittel 7;salat;17;19:06:04;19:05:34
Lebensmittel 8;nudel;18;19:06:09;19:05:34
Lebensmittel 9;reis;19;19:06:11;19:05:34
Lebensmittel 10;schokolade;20;19:06:21;19:05:34


EVENT;Zeit;DETAILS
tab2_notification_shown;19:05:21;{"message":"Neue Aufgabe in Tab2 - sofort überprüfen."}
tab_switch;19:05:25;{"from":"tab1","to":"tab2"}
tab2_task_started;19:05:27;{"totalBubbles":10,"trigger":"first_bubble_click"}
tab2_task_finished;19:05:33;{"completedBubbles":10}
tab_switch;19:05:34;{"from":"tab2","to":"tab1"}
tab_switch;19:06:21;{"from":"tab1","to":"tab3"}


ID;TYP;TEXT;ANGEZEIGT;TAB_BETRETEN;BEANTWORTET;REAKTIONSZEIT_SEK;RICHTIG;FEHLER
0;number;Drücken Sie die Zahl 1;19:04:26;19:06:21;19:06:24;118,10;true;0
1;check;Bestätigen Sie diese Meldung;19:04:48;19:06:21;19:06:26;97,79;true;0
2;cross;Lehnen Sie diese Meldung ab;19:05:14;19:06:21;19:06:27;72,29;true;0
3;text;Schreibe das Wort hallo;19:05:33;19:06:21;19:06:31;57,91;true;0
4;number;Drücken Sie die Zahl 7;19:05:43;19:06:21;19:06:32;49,55;true;0
5;check;Bestätigen Sie diese Meldung;19:06:09;19:06:21;19:06:38;29,61;true;0


GESAMTDAUER_SEKUNDEN;141,01
GESAMT_FEHLER;0
